"{:calorie=>""Calorie Counter"", :kilojoule=>""Kilojoule Counter""}",,,,,,,,
Printable Diary forÿUnsraw,,,,,,,,
From:,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Show:,,,,,,,,
ÿFood Diary,,,,,,,,
ÿFood Notes,,,,,,,,
To:,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ÿExercise Diary,,,,,,,,
ÿExercise notes,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
15-Jan-11,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
"Dannon - Natural Nonfat Yogurt Plain, 2 cup",240,32g,0g,24g,20mg,600mg,60g,0g
"Seeds - Flax Seeds, 2 tablespoons",110,6g,8g,4g,0mg,0mg,0g,14g
"Trader Joe's Soy Protein Powder - Vanilla - Protein Powder, 2 scoops (33g)",120,1g,2g,25g,0mg,1mg,0g,0g
"Bob's Red Mill - Natural Raw Wheat Germ, 2 tbsp.",60,9g,2g,4g,0mg,0mg,2g,2g
"Lettuce - Cos or romaine, raw, 5 leaf outer",24,5g,0g,2g,0mg,11mg,2g,3g
Lunch,,,,,,,,
"Mori-Nu - Silken Tofu Firm, 1 container (12 oz (84g about 1"" slice) ea.)",200,8g,10g,24g,0mg,120mg,0g,0g
"Generic - Hijiki Salad, 2 oz",62,10g,0g,1g,0mg,0mg,7g,1g
"Japanese Pumpkin - Kabocha Squash, 2 cup",60,14g,0g,0g,0mg,0mg,6g,2g
"Celery - Raw, 3 stalk large (11""-12"" long)",26,6g,0g,1g,0mg,149mg,3g,3g
Dinner,,,,,,,,
"Silk - Vanilla Soy Milk, 1 Cup",100,11g,4g,6g,0mg,95mg,8g,1g
"Generic - Homemade Pinto Beans, 1/2 cup cooked",100,18g,1g,6g,0mg,185mg,0g,8g
TOTAL:,"1,382",172g,32g,107g,20mg,"1,161mg",88g,42g
16-Jan-11,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Lettuce - Cos or romaine, raw, 5 leaf outer",24,5g,0g,2g,0mg,11mg,2g,3g
"Bob's Red Mill - Natural Raw Wheat Germ, 2 tbsp.",60,9g,2g,4g,0mg,0mg,2g,2g
"Trader Joe's Soy Protein Powder - Vanilla - Protein Powder, 2 scoops (33g)",120,1g,2g,25g,0mg,1mg,0g,0g
"Seeds - Flax Seeds, 2 tablespoons",110,6g,8g,4g,0mg,0mg,0g,14g
"Dannon - Natural Nonfat Yogurt Plain, 2 cup",240,32g,0g,24g,20mg,600mg,60g,0g
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
Lunch,,,,,,,,
"Home Prepared - Roasted Beets, 1 cup",58,11g,0g,2g,0mg,106mg,9g,4g
"Mori-Nu - Silken Tofu Firm, 1 container (12 oz (84g about 1"" slice) ea.)",200,8g,10g,24g,0mg,120mg,0g,0g
"Celery - Raw, 3 stalk large (11""-12"" long)",26,6g,0g,1g,0mg,149mg,3g,3g
"Generic - Hijiki Salad, 2 oz",62,10g,0g,1g,0mg,0mg,7g,1g
"oatmeal bar - home made, 2 piece",120,0g,0g,8g,0mg,0mg,0g,0g
Dinner,,,,,,,,
"Generic - Homemade Pinto Beans, 1/2 cup cooked",100,18g,1g,6g,0mg,185mg,0g,8g
"Japanese Pumpkin - Kabocha Squash, 0.5 cup",15,4g,0g,0g,0mg,0mg,2g,1g
"Spinach - Raw, 1 cup",7,1g,0g,1g,0mg,24mg,0g,1g
"Generic - Nappa Cabbage Raw, 1 Cup Chopped",20,0g,0g,1g,0mg,0mg,0g,1g
TOTAL:,"1,442",163g,28g,113g,20mg,"1,196mg",85g,46g
17-Jan-11,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Lettuce - Cos or romaine, raw, 5 leaf outer",24,5g,0g,2g,0mg,11mg,2g,3g
"Bob's Red Mill - Natural Raw Wheat Germ, 2 tbsp.",60,9g,2g,4g,0mg,0mg,2g,2g
"Trader Joe's Soy Protein Powder - Vanilla - Protein Powder, 2 scoops (33g)",120,1g,2g,25g,0mg,1mg,0g,0g
"Seeds - Flax Seeds, 2 tablespoons",110,6g,8g,4g,0mg,0mg,0g,14g
"Dannon - Natural Nonfat Yogurt Plain, 2 cup",240,32g,0g,24g,20mg,600mg,60g,0g
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
Lunch,,,,,,,,
"Celery - Raw, 3 stalk large (11""-12"" long)",26,6g,0g,1g,0mg,149mg,3g,3g
"Mori-Nu - Silken Tofu Firm, 1 container (12 oz (84g about 1"" slice) ea.)",200,8g,10g,24g,0mg,120mg,0g,0g
"Generic - Hijiki Salad, 2 oz",62,10g,0g,1g,0mg,0mg,7g,1g
"Home Prepared - Roasted Beets, 1 cup",58,11g,0g,2g,0mg,106mg,9g,4g
