Date,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
1-Jan-12,2005,217,66,153,70,929,59,66
2-Jan-12,1781,189,58,136,77,932,48,64
3-Jan-12,2014,192,65,177,200,1771,39,68
4-Jan-12,952,123,32,58,5,756,24,33
5-Jan-12,1990,284,53,125,53,2952,73,82
6-Jan-12,1896,226,58,132,157,1347,84,62
7-Jan-12,1256,170,40,64,19,600,42,58
8-Jan-12,1607,181,53,114,70,1276,42,60
9-Jan-12,1617,187,48,111,70,565,42,61
10-Jan-12,1848,235,48,127,70,937,68,76
11-Jan-12,1707,236,44,100,10,777,59,76
12-Jan-12,1947,260,47,131,70,932,61,80
13-Jan-12,1752,237,48,101,10,777,59,77
14-Jan-12,1805,209,53,130,100,1241,47,70
15-Jan-12,1822,241,50,111,40,1197,58,81
16-Jan-12,1818,218,54,118,70,1166,49,72
17-Jan-12,1320,175,33,85,10,770,57,49
18-Jan-12,1818,213,50,137,160,1120,58,68
19-Jan-12,1815,235,49,122,140,2214,49,41
20-Jan-12,1969,246,52,139,100,1347,56,82
21-Jan-12,1971,266,52,121,40,849,51,87
22-Jan-12,2004,236,54,147,100,889,49,78
23-Jan-12,1560,198,45,97,5,1691,57,56
24-Jan-12,1762,219,40,135,75,512,41,57
25-Jan-12,1658,227,37,111,10,1422,50,69
26-Jan-12,1904,240,45,143,135,1056,52,62
27-Jan-12,1706,210,43,112,10,1408,31,67
28-Jan-12,2129,254,49,163,73,1861,60,89
29-Jan-12,1692,225,39,115,10,1382,38,82
30-Jan-12,1791,254,40,129,75,1224,61,70
31-Jan-12,1273,174,37,84,10,821,34,62
1-Feb-12,1823,241,46,131,65,1359,46,91
2-Feb-12,1475,180,41,111,20,1010,37,68
3-Feb-12,1721,223,43,132,75,1130,37,70
4-Feb-12,1794,222,45,137,20,1157,59,79
5-Feb-12,1936,257,49,134,65,1207,45,83
6-Feb-12,1882,271,47,123,65,650,54,79
7-Feb-12,1769,240,47,104,10,641,40,76
8-Feb-12,1829,251,50,114,35,791,30,55
