1-Jan-14,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"navy bean soup, 1 serving",206,38g,0g,13g,0mg,48mg,1g,13g
"Pict Sweet - Baby Brussels Sprouts, 170 grams",90,16g,0g,6g,0mg,30mg,4g,6g
"egg fu yung 2, 1 serving",219,10g,14g,15g,380mg,146mg,7g,3g
Lunch,,,,,,,,
"Egg-land's Best - Egg - Large - Grade A, All Natural Vegetarian Fed Hens, 1 egg (50g)",70,0g,4g,6g,175mg,60mg,0g,0g
"Chicken of the Sea - Chunk Light Tuna In Water (Correct), 0.25 container (4 oz drained ea.)",25,0g,0g,6g,5mg,90mg,0g,0g
"navy bean soup, 1/2 serving",103,19g,0g,6g,0mg,24mg,1g,7g
"lentil soup, 1 serving",176,30g,0g,13g,0mg,124mg,2g,8g
"Haas Avocado - Haas Avocado (5 Oz.), 0.5 Avocado (5 oz.)",125,7g,12g,2g,0mg,5mg,0g,5g
Dinner,,,,,,,,
"black eyed pea soup, 1 serving",113,28g,0g,10g,0mg,50mg,3g,12g
"Brunswick - Sardines In Spring Water/no Salt Added, 1 can (3.75oz)",130,0g,7g,17g,90mg,200mg,0g,0g
"Kale - Raw, 3 cup, chopped",101,20g,1g,7g,0mg,86mg,0g,4g
"navy bean soup, 1/2 serving",103,19g,0g,6g,0mg,24mg,1g,7g
Snacks,,,,,,,,
"Truenutrition - 100% Whey Protein Isolate Microfiltrated, 15 grams",55,0g,0g,14g,0mg,38mg,0g,0g
"Truenutrition - Hydrolyzed Casein, 15 g",55,0g,0g,13g,0mg,0mg,0g,0g
"Truenutrition - Whey Protein Concentrate, Super Grade, 15 g",60,1g,1g,12g,15mg,18mg,1g,1g
"Nestle - Toll House Perfect for Baking Cocoa, 5 Tbs (5g)",75,15g,3g,5g,0mg,0mg,0g,5g
"Mother's - Walnuts Large Halves, 3 full walnut",78,2g,8g,2g,0mg,3mg,3g,1g
"Carb Nite - Almonds , 6 nuts",40,1g,6g,2g,0mg,0mg,0g,1g
"Trader Joe's - Raw Brazil Nuts, 2 pieces (30 g)",54,1g,5g,1g,0mg,0mg,0g,1g
TOTAL:,"1,878",207g,61g,156g,665mg,946mg,23g,74g
2-Jan-14,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"black eyed pea soup, 1 serving",173,32g,1g,11g,0mg,40mg,7g,10g
"egg fu yung 2, 1 serving",219,10g,14g,15g,380mg,146mg,7g,3g
"Nestle - Toll House Perfect for Baking Cocoa, 3.33 Tbs (5g)",50,10g,2g,3g,0mg,0mg,0g,3g
Lunch,,,,,,,,
"black eyed pea soup, 1 serving",173,32g,1g,11g,0mg,40mg,7g,10g
"broccoli fried eggs, 1 serving",233,12g,15g,17g,380mg,198mg,4g,5g
"Haas Avocado - Haas Avocado (5 Oz.), 0.5 Avocado (5 oz.)",125,7g,12g,2g,0mg,5mg,0g,5g
Dinner,,,,,,,,
"Birds Eye Steamfresh - Cut Green Beans, 1 container (324 gs ea.)",120,20g,0g,4g,0mg,0mg,8g,8g
"navy bean soup, 1/2 serving",103,19g,0g,6g,0mg,24mg,1g,7g
"Hershey's - Cocoa Special Dark Powder (Updated 5/12/12), 1 tbsp (5g)",10,3g,1g,1g,0mg,65mg,0g,2g
Snacks,,,,,,,,
"navy bean soup, 1/2 serving",103,19g,0g,6g,0mg,24mg,1g,7g
