Date, Weight
1/15/2011, 110.0
1/16/2011, 111.5
1/17/2011, 111.0
1/18/2011, 112.0
1/19/2011, 111.0
1/20/2011, 110.5
1/21/2011, 110.0
1/22/2011, 110.0
1/23/2011, 111.5
1/24/2011, 111.5
1/25/2011, 111.5
1/26/2011, 111.5
1/27/2011, 111.5
1/28/2011, 111.0
1/29/2011, 111.5
1/30/2011, 109.5
1/31/2011, 110.5
2/01/2011, 109.5
2/02/2011, 110.0
2/03/2011, 110.5
2/04/2011, 110.0
2/05/2011, 111.0
2/06/2011, 112.0
2/07/2011, 112.5
2/08/2011, 111.5
2/09/2011, 112.0
2/10/2011, 111.5
2/11/2011, 111.5
2/12/2011, 111.0
2/13/2011, 111.0
2/14/2011, 111.0
2/15/2011, 111.5
2/16/2011, 111.5
2/17/2011, 111.5
2/18/2011, 111.5
2/19/2011, 112.0
2/20/2011, 112.0
2/21/2011, 111.5
2/22/2011, 112.0
2/23/2011, 112.0
2/24/2011, 112.0
2/25/2011, 110.5
2/26/2011, 112.0
2/27/2011, 111.5
2/28/2011, 112.0
3/01/2011, 111.5
3/02/2011, 111.0
3/03/2011, 110.5
3/04/2011, 109.5
3/05/2011, 110.0
3/06/2011, 109.0
3/07/2011, 109.5
3/08/2011, 110.5
3/09/2011, 110.0
3/10/2011, 110.5
3/11/2011, 110.0
3/12/2011, 109.5
3/13/2011, 111.5
3/14/2011, 112.5
3/15/2011, 113.5
3/16/2011, 111.5
3/17/2011, 110.0
3/18/2011, 110.5
3/19/2011, 112.0
3/20/2011, 111.4
3/21/2011, 111.2
3/22/2011, 111.2
3/23/2011, 111.2
3/24/2011, 111.0
3/25/2011, 111.0
3/26/2011, 112.0
3/27/2011, 111.0
3/28/2011, 110.5
3/29/2011, 111.0
3/30/2011, 111.0
3/31/2011, 111.0
4/01/2011, 110.5
4/02/2011, 111.0
4/03/2011, 111.5
4/04/2011, 111.5
4/05/2011, 112.0
4/06/2011, 111.5
4/07/2011, 112.5
4/08/2011, 111.0
4/09/2011, 111.5
4/10/2011, 110.5
4/11/2011, 111.0
4/12/2011, 111.5
4/13/2011, 111.5
4/14/2011, 111.0
4/15/2011, 110.5
4/16/2011, 110.5
4/17/2011, 110.0
4/18/2011, 109.5
4/19/2011, 110.5
4/20/2011, 110.0
4/21/2011, 109.5
4/22/2011, 111.0
4/23/2011, 111.0
4/24/2011, 111.0
4/25/2011, 110.5
4/26/2011, 110.5
4/27/2011, 110.5
4/28/2011, 110.5
4/29/2011, 110.5
4/30/2011, 110.5
5/01/2011, 107.0
5/02/2011, 107.5
5/03/2011, 106.0
5/04/2011, 107.0
5/05/2011, 106.5
5/06/2011, 107.5
5/07/2011, 108.0
5/08/2011, 107.0
5/09/2011, 109.5
5/10/2011, 109.0
5/11/2011, 108.5
5/12/2011, 108.5
5/13/2011, 108.5
5/14/2011, 108.5
5/15/2011, 109.0
5/16/2011, 109.5
5/17/2011, 110.5
5/18/2011, 110.0
5/19/2011, 110.0
5/20/2011, 110.0
5/21/2011, 111.0
5/22/2011, 109.5
5/23/2011, 109.5
5/24/2011, 108.5
5/25/2011, 108.0
5/26/2011, 107.5
5/27/2011, 106.5
5/28/2011, 106.0
5/29/2011, 106.5
5/30/2011, 106.5
5/31/2011, 107.0
6/01/2011, 108.5
6/02/2011, 107.5
6/03/2011, 108.5
6/04/2011, 107.0
6/05/2011, 108.0
6/06/2011, 108.0
6/07/2011, 108.0
6/08/2011, 108.0
6/09/2011, 108.0
6/10/2011, 108.5
6/11/2011, 107.5
6/12/2011, 107.5
6/13/2011, 106.5
6/14/2011, 107.0
6/15/2011, 107.0
6/16/2011, 106.5
6/17/2011, 106.5
6/18/2011, 108.0
6/19/2011, 108.0
6/20/2011, 106.5
6/21/2011, 108.0
6/22/2011, 108.0
6/23/2011, 106.5
6/24/2011, 107.5
6/25/2011, 108.0
6/26/2011, 108.0
6/27/2011, 106.5
6/28/2011, 107.5
6/29/2011, 107.5
6/30/2011, 107.5
7/01/2011, 108.5
7/02/2011, 106.5
7/03/2011, 107.0
7/04/2011, 106.0
7/05/2011, 106.0
7/06/2011, 106.5
7/07/2011, 107.0
7/08/2011, 106.0
7/09/2011, 106.5
7/10/2011, 106.0
7/11/2011, 106.0
7/12/2011, 106.5
7/13/2011, 107.5
7/14/2011, 107.0
7/15/2011, 106.5
7/16/2011, 106.5
7/17/2011, 105.5
7/18/2011, 105.5
7/19/2011, 108.0
7/20/2011, 107.5
7/21/2011, 107.5
7/22/2011, 108.0
7/23/2011, 108.0
7/24/2011, 107.0
7/25/2011, 107.0
7/26/2011, 107.0
7/27/2011, 108.0
7/28/2011, 108.0
7/29/2011, 108.5
7/30/2011, 108.5
7/31/2011, 107.0
8/01/2011, 107.5
8/02/2011, 107.0
8/03/2011, 108.5
8/04/2011, 108.5
8/05/2011, 108.0
8/06/2011, 108.0
8/07/2011, 108.0
8/08/2011, 108.0
8/09/2011, 108.0
8/10/2011, 109.5
8/11/2011, 109.5
8/12/2011, 109.5
8/13/2011, 109.5
8/14/2011, 109.5
8/15/2011, 107.0
8/16/2011, 107.0
8/17/2011, 107.5
8/18/2011, 108.5
8/19/2011, 108.5
8/20/2011, 108.0
8/21/2011, 108.0
8/22/2011, 108.0
8/23/2011, 109.5
8/24/2011, 109.0
8/25/2011, 109.0
8/26/2011, 109.5
8/27/2011, 109.0
8/28/2011, 109.5
